,pclass,sibsp,parch,survived,age_fill,fare_fill,sex_level,embarked_Q,embarked_S
0,1,0,0,1,29.0,211.3375,1,False,True
1,1,1,2,1,0.9167,151.55,0,False,True
2,1,1,2,0,2.0,151.55,1,False,True
3,1,1,2,0,30.0,151.55,0,False,True
4,1,1,2,0,25.0,151.55,1,False,True
5,1,0,0,1,48.0,26.55,0,False,True
6,1,1,0,1,63.0,77.9583,1,False,True
7,1,0,0,0,39.0,0.0,0,False,True
8,1,2,0,1,53.0,51.4792,1,False,True
9,1,0,0,0,71.0,49.5042,0,False,False
10,1,1,0,0,47.0,227.525,0,False,False
11,1,1,0,1,18.0,227.525,1,False,False
12,1,0,0,1,24.0,69.3,1,False,False
13,1,0,0,1,26.0,78.85,1,False,True
14,1,0,0,1,80.0,30.0,0,False,True
15,1,0,0,0,29.8811345124283,25.925,0,False,True
16,1,0,1,0,24.0,247.5208,0,False,False
17,1,0,1,1,50.0,247.5208,1,False,False
18,1,0,0,1,32.0,76.2917,1,False,False
19,1,0,0,0,36.0,75.2417,0,False,False
20,1,1,1,1,37.0,52.5542,0,False,True
21,1,1,1,1,47.0,52.5542,1,False,True
22,1,0,0,1,26.0,30.0,0,False,False
23,1,0,0,1,42.0,227.525,1,False,False
24,1,0,0,1,29.0,221.7792,1,False,True
25,1,0,0,0,25.0,26.0,0,False,False
26,1,1,0,1,25.0,91.0792,0,False,False
27,1,1,0,1,19.0,91.0792,1,False,False
28,1,0,0,1,35.0,135.6333,1,False,True
29,1,0,0,1,28.0,26.55,0,False,True
30,1,0,0,0,45.0,35.5,0,False,True
31,1,0,0,1,40.0,31.0,0,False,False
32,1,0,0,1,30.0,164.8667,1,False,True
33,1,0,0,1,58.0,26.55,1,False,True
34,1,0,0,0,42.0,26.55,0,False,True
35,1,0,0,1,45.0,262.375,1,False,False
36,1,0,1,1,22.0,55.0,1,False,True
37,1,0,0,1,29.8811345124283,26.55,0,False,True
38,1,0,0,0,41.0,30.5,0,False,True
39,1,0,0,0,48.0,50.4958,0,False,False
40,1,0,0,0,29.8811345124283,39.6,0,False,False
41,1,0,0,1,44.0,27.7208,1,False,False
42,1,2,0,1,59.0,51.4792,1,False,True
43,1,0,0,1,60.0,76.2917,1,False,False
44,1,0,0,1,41.0,134.5,1,False,False
45,1,0,0,0,45.0,26.55,0,False,True
46,1,0,0,0,29.8811345124283,31.0,0,False,True
47,1,0,0,1,42.0,26.2875,0,False,True
48,1,0,0,1,53.0,27.4458,1,False,False
49,1,0,1,1,36.0,512.3292,0,False,False
50,1,0,1,1,58.0,512.3292,1,False,False
51,1,0,0,0,33.0,5.0,0,False,True
52,1,0,0,0,28.0,47.1,0,False,True
53,1,0,0,0,17.0,47.1,0,False,True
54,1,1,2,1,11.0,120.0,0,False,True
55,1,1,2,1,14.0,120.0,1,False,True
56,1,1,2,1,36.0,120.0,0,False,True
57,1,1,2,1,36.0,120.0,1,False,True
58,1,0,0,0,49.0,26.0,0,False,True
59,1,0,0,1,29.8811345124283,27.7208,1,False,False
60,1,1,0,0,36.0,78.85,0,False,True
61,1,1,0,1,76.0,78.85,1,False,True
62,1,1,0,0,46.0,61.175,0,False,True
63,1,1,0,1,47.0,61.175,1,False,True
64,1,1,0,1,27.0,53.1,0,False,True
65,1,1,0,1,33.0,53.1,1,False,True
66,1,0,0,1,36.0,262.375,1,False,False
67,1,0,0,1,30.0,86.5,1,False,True
68,1,0,0,1,45.0,29.7,0,False,False
69,1,0,1,1,29.8811345124283,55.0,1,False,True
70,1,0,0,0,29.8811345124283,0.0,0,False,True
71,1,1,0,0,27.0,136.7792,0,False,False
72,1,1,0,1,26.0,136.7792,1,False,False
73,1,0,0,1,22.0,151.55,1,False,True
74,1,0,0,0,29.8811345124283,52.0,0,False,True
75,1,0,0,0,47.0,25.5875,0,False,True
76,1,1,1,1,39.0,83.1583,1,False,False
77,1,1,1,0,37.0,83.1583,0,False,False
78,1,0,2,1,64.0,83.1583,1,False,False
79,1,2,0,1,55.0,25.7,1,False,True
80,1,0,0,0,29.8811345124283,26.55,0,False,True
81,1,1,1,0,70.0,71.0,0,False,True
82,1,0,2,1,36.0,71.0,1,False,True
83,1,1,1,1,64.0,26.55,1,False,True
84,1,1,0,0,39.0,71.2833,0,False,False
85,1,1,0,1,38.0,71.2833,1,False,False
86,1,0,0,1,51.0,26.55,0,False,True
87,1,0,0,1,27.0,30.5,0,False,True
88,1,0,0,1,33.0,151.55,1,False,True
89,1,1,0,0,31.0,52.0,0,False,True
90,1,1,2,1,27.0,52.0,1,False,True
91,1,1,0,1,31.0,57.0,0,False,True
92,1,1,0,1,17.0,57.0,1,False,True
93,1,1,1,1,53.0,81.8583,0,False,True
94,1,0,2,1,4.0,81.8583,0,False,True
95,1,1,1,1,54.0,81.8583,1,False,True
96,1,1,0,0,50.0,106.425,0,False,False
97,1,1,1,1,27.0,247.5208,1,False,False
98,1,1,0,1,48.0,106.425,1,False,False
99,1,1,0,1,48.0,39.6,1,False,False
100,1,1,0,1,49.0,56.9292,0,False,False
101,1,0,0,0,39.0,29.7,0,False,False
102,1,0,1,1,23.0,83.1583,1,False,False
103,1,0,0,1,38.0,227.525,1,False,False
104,1,1,0,1,54.0,78.2667,1,False,False
105,1,0,0,0,36.0,31.6792,1,False,False
106,1,0,0,0,29.8811345124283,221.7792,0,False,True
107,1,0,0,1,29.8811345124283,31.6833,1,False,True
108,1,0,0,1,29.8811345124283,110.8833,1,False,False
109,1,0,0,1,36.0,26.3875,0,False,True
110,1,0,0,0,30.0,27.75,0,False,False
111,1,3,2,1,24.0,263.0,1,False,True
112,1,3,2,1,28.0,263.0,1,False,True
113,1,3,2,1,23.0,263.0,1,False,True
114,1,3,2,0,19.0,263.0,0,False,True
115,1,1,4,0,64.0,263.0,0,False,True
116,1,1,4,1,60.0,263.0,1,False,True
117,1,0,0,1,30.0,56.9292,1,False,False
118,1,0,0,0,29.8811345124283,26.55,0,False,True
119,1,2,0,1,50.0,133.65,0,False,True
120,1,1,0,1,43.0,27.7208,0,False,False
121,1,1,0,1,29.8811345124283,133.65,1,False,True
122,1,0,2,1,22.0,49.5,1,False,False
123,1,1,1,1,60.0,79.2,0,False,False
124,1,1,1,1,48.0,79.2,1,False,False
125,1,0,0,0,29.8811345124283,0.0,0,False,True
126,1,1,0,0,37.0,53.1,0,False,True
127,1,1,0,1,35.0,53.1,1,False,True
128,1,0,0,0,47.0,38.5,0,False,True
129,1,0,0,1,35.0,211.5,1,False,False
130,1,0,1,1,22.0,59.4,1,False,False
131,1,0,1,1,45.0,59.4,1,False,False
132,1,0,0,0,24.0,79.2,0,False,False
133,1,1,0,1,49.0,89.1042,0,False,False
134,1,1,0,1,29.8811345124283,89.1042,1,False,False
135,1,0,0,0,71.0,34.6542,0,False,False
136,1,0,0,1,53.0,28.5,0,False,False
137,1,0,0,1,19.0,30.0,1,False,True
138,1,0,1,0,38.0,153.4625,0,False,True
139,1,0,1,1,58.0,153.4625,1,False,True
140,1,0,1,1,23.0,63.3583,0,False,False
141,1,0,1,1,45.0,63.3583,1,False,False
142,1,0,0,0,46.0,79.2,0,False,False
143,1,1,0,1,25.0,55.4417,0,False,False
144,1,1,0,1,25.0,55.4417,1,False,False
145,1,1,0,1,48.0,76.7292,0,False,False
146,1,1,0,1,49.0,76.7292,1,False,False
147,1,0,0,0,29.8811345124283,42.4,0,False,True
148,1,1,0,0,45.0,83.475,0,False,True
149,1,1,0,1,35.0,83.475,1,False,True
150,1,0,0,0,40.0,0.0,0,False,True
151,1,0,0,1,27.0,76.7292,0,False,False
152,1,0,0,1,29.8811345124283,30.0,0,False,True
153,1,0,0,1,24.0,83.1583,1,False,False
154,1,1,1,0,55.0,93.5,0,False,True
155,1,1,1,1,52.0,93.5,1,False,True
156,1,0,0,0,42.0,42.5,0,False,True
157,1,0,0,0,29.8811345124283,51.8625,0,False,True
158,1,0,0,0,55.0,50.0,0,False,True
159,1,0,1,1,16.0,57.9792,1,False,False
160,1,0,1,1,44.0,57.9792,1,False,False
161,1,1,0,1,51.0,77.9583,1,False,True
162,1,1,0,0,42.0,52.0,0,False,True
163,1,1,0,1,35.0,52.0,1,False,True
164,1,0,0,1,35.0,26.55,0,False,False
165,1,1,0,1,38.0,90.0,0,False,True
166,1,0,0,0,29.8811345124283,30.6958,0,False,False
167,1,1,0,1,35.0,90.0,1,False,True
